File	Line	Description
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Visuals.Layout.CanvasLayout.cs	396	'CanvasLayout.LayoutParams.IVerticalAlignmentInvoker.Equals(Object)' hides inherited member 'Object.Equals(Object)'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'android.support.v7.widget.RecyclerView.Adapter<com.scichart.charting.visuals.legend.SciChartLegend.a>' is referenced as base type of 'com.scichart.charting.visuals.legend.SciChartLegend.b' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Visuals.Layout.CanvasLayout.cs	13	'CanvasLayout.LayoutParams' hides inherited member 'ViewGroup.LayoutParams'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Visuals.Layout.CanvasLayout.cs	243	'CanvasLayout.LayoutParams.IHorizontalAlignmentInvoker.Equals(Object)' hides inherited member 'Object.Equals(Object)'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Visuals.Layout.CanvasLayout.cs	270	'CanvasLayout.LayoutParams.IHorizontalAlignmentInvoker.GetHashCode()' hides inherited member 'Object.GetHashCode()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Visuals.Layout.CanvasLayout.cs	294	'CanvasLayout.LayoutParams.IHorizontalAlignmentInvoker.ToString()' hides inherited member 'Object.ToString()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Visuals.Layout.CanvasLayout.cs	423	'CanvasLayout.LayoutParams.IVerticalAlignmentInvoker.GetHashCode()' hides inherited member 'Object.GetHashCode()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Visuals.Layout.CanvasLayout.cs	447	'CanvasLayout.LayoutParams.IVerticalAlignmentInvoker.ToString()' hides inherited member 'Object.ToString()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'com.scichart.core.observable.ObservableCollection<com.scichart.charting.modifiers.IChartModifier>' is referenced as base type of 'com.scichart.charting.model.ChartModifierCollection' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'com.scichart.core.observable.ObservableCollection<com.scichart.charting.visuals.annotations.IAnnotation>' is referenced as base type of 'com.scichart.charting.model.AnnotationCollection' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'com.scichart.core.observable.ObservableCollection<com.scichart.charting.visuals.axes.IAxis>' is referenced as base type of 'com.scichart.charting.model.AxisCollection' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'com.scichart.core.observable.ObservableCollection<com.scichart.charting.visuals.renderableSeries.IRenderableSeries>' is referenced as base type of 'com.scichart.charting.model.RenderableSeriesCollection' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\BINDINGSGENERATOR		'com.scichart.core.observable.ObservableCollection<T>' is referenced as base type of 'com.scichart.charting.visuals.renderableSeries.StackedSeriesCollectionBase' and expected to have generic type parameters, but it does not.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Model.DataSeries.DataSeriesUpdate.cs	111	'DataSeriesUpdate.IDataSeriesUpdateValueInvoker.Equals(Object)' hides inherited member 'Object.Equals(Object)'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Model.DataSeries.DataSeriesUpdate.cs	138	'DataSeriesUpdate.IDataSeriesUpdateValueInvoker.GetHashCode()' hides inherited member 'Object.GetHashCode()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Model.DataSeries.DataSeriesUpdate.cs	162	'DataSeriesUpdate.IDataSeriesUpdateValueInvoker.ToString()' hides inherited member 'Object.ToString()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\obj\Debug\generated\src\SciChart.Core.Framework.DisposableBase.cs	120	'DisposableBase.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Drawing\obj\Debug\generated\src\SciChart.Drawing.Common.IAssetManager2D.cs	407	'IAssetManager2DInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Visuals.Axes.IAxisGridLinesRenderer.cs	237	'IAxisGridLinesRendererInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Visuals.Axes.IAxisRendererCore.cs	173	'IAxisRendererCoreInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Visuals.Axes.IAxisRenderer.cs	318	'IAxisRendererInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Charting\obj\Debug\generated\src\SciChart.Charting.Visuals.Axes.IAxisTitleRenderer.cs	318	'IAxisTitleRendererInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Drawing\obj\Debug\generated\src\SciChart.Drawing.Common.IBrush2D.cs	123	'IBrush2DInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\obj\Debug\generated\src\SciChart.Core.Framework.IDisposable.cs	13	'IDisposable.Dispose()' hides inherited member 'IDisposable.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Core\obj\Debug\generated\src\SciChart.Core.Framework.IDisposable.cs	77	'IDisposableInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Drawing\obj\Debug\generated\src\SciChart.Drawing.Common.IFont.cs	168	'IFontInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Drawing\obj\Debug\generated\src\SciChart.Drawing.Common.IPathColor.cs	133	'IPathColorInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Drawing\obj\Debug\generated\src\SciChart.Drawing.Common.IPen2D.cs	243	'IPen2DInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.IRange.cs	567	'IRangeInvoker.Clone()' hides inherited member 'Object.Clone()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Drawing\obj\Debug\generated\src\SciChart.Drawing.Common.IRenderContext2D.cs	1311	'IRenderContext2DInvoker.Dispose()' hides inherited member 'Object.Dispose()'. Use the new keyword if hiding was intended.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.ISciListByte.cs	998	'ISciListByteInvoker.Equals(Object)' hides inherited member 'Object.Equals(Object)'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.ISciListByte.cs	1051	'ISciListByteInvoker.GetHashCode()' hides inherited member 'Object.GetHashCode()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.ISciListDate.cs	998	'ISciListDateInvoker.Equals(Object)' hides inherited member 'Object.Equals(Object)'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.ISciListDate.cs	1051	'ISciListDateInvoker.GetHashCode()' hides inherited member 'Object.GetHashCode()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.ISciListDouble.cs	998	'ISciListDoubleInvoker.Equals(Object)' hides inherited member 'Object.Equals(Object)'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
F:\scichart_root\android_trunk\src\Xamarin\SciChart.Data\obj\Debug\generated\src\SciChart.Data.Model.ISciListDouble.cs	1051	'ISciListDoubleInvoker.GetHashCode()' hides inherited member 'Object.GetHashCode()'. To make the current member override that implementation, add the override keyword. Otherwise add the new keyword.
